genes,,
Name,Symbol,Cross-references
zinc finger protein 44,ZNF44,"Comparative Toxicogenomics Database:51710, Ensembl:ENSG00000197857, GenAtlas:ZNF44, GeneCard:ZNF44, HGNC:HGNC:13110, HumanCyc Gene:HS10278, NCBI Gene:51710, OMIM:194542, RefSeq DNA:NT_011295, RefSeq Protein:NP_001157748, RefSeq Protein:NP_057348, RefSeq RNA:NM_001164276, RefSeq RNA:NM_016264, UCSC Genome Browser:NM_016264, UniProtKB:P15621"
solute carrier family 26 member 4,SLC26A4,"Comparative Toxicogenomics Database:5172, Ensembl:ENSG00000091137, GenAtlas:SLC26A4, GeneCard:SLC26A4, HGNC:HGNC:8818, HumanCyc Gene:HS01725, ModBase:O43511, NCBI Gene:5172, OMIM:274600, OMIM:600791, OMIM:605646, RefSeq DNA:NG_008489, RefSeq DNA:NT_007933, RefSeq DNA:NT_079596, RefSeq Protein:NP_000432, RefSeq RNA:NM_000441, UCSC Genome Browser:NM_000441, UniProtKB:O43511"
RNA polymerase III subunit K,POLR3K,"Comparative Toxicogenomics Database:51728, Ensembl:ENSG00000161980, GenAtlas:POLR3K, GeneCard:POLR3K, HGNC:HGNC:14121, HumanCyc Gene:HS08632, ModBase:Q9Y2Y1, NCBI Gene:51728, OMIM:606007, RefSeq DNA:NT_010393, RefSeq Protein:NP_057394, RefSeq RNA:NM_016310, UCSC Genome Browser:NM_016310, UniProtKB:Q9Y2Y1"
WW domain binding protein 11,WBP11,"Comparative Toxicogenomics Database:51729, Ensembl:ENSG00000084463, GenAtlas:WBP11, GeneCard:WBP11, HGNC:HGNC:16461, HumanCyc Gene:HS01471, ModBase:Q9Y2W2, NCBI Gene:51729, RefSeq DNA:NT_009714, RefSeq Protein:NP_057396, RefSeq RNA:NM_016312, UCSC Genome Browser:NM_016312, UniProtKB:Q9Y2W2"
prodynorphin,PDYN,"Comparative Toxicogenomics Database:5173, Ensembl:ENSG00000101327, GenAtlas:PDYN, GeneCard:PDYN, HGNC:HGNC:8820, HumanCyc Gene:HS02242, NCBI Gene:5173, OMIM:131340, RefSeq DNA:NT_011387, RefSeq Protein:NP_001177821, RefSeq Protein:NP_001177827, RefSeq Protein:NP_001177828, RefSeq Protein:NP_001177829, RefSeq Protein:NP_077722, RefSeq RNA:NM_001190892, RefSeq RNA:NM_001190898, RefSeq RNA:NM_001190899, RefSeq RNA:NM_001190900, RefSeq RNA:NM_024411, UCSC Genome Browser:NM_024411, UniProtKB:P01213"
beta-ureidopropionase 1,UPB1,"Comparative Toxicogenomics Database:51733, Ensembl:ENSG00000100024, GenAtlas:UPB1, GeneCard:UPB1, HGNC:HGNC:16297, HumanCyc Gene:HS01953, ModBase:Q9UBR1, NCBI Gene:51733, OMIM:606673, OMIM:613161, RefSeq DNA:NG_012858, RefSeq DNA:NT_011520, RefSeq Protein:NP_057411, RefSeq RNA:NM_016327, UCSC Genome Browser:NM_016327, UniProtKB:B3KNC1, UniProtKB:Q9UBR1"
methionine sulfoxide reductase B1,MSRB1,"Comparative Toxicogenomics Database:51734, GenAtlas:SEPX1, GeneCard:SEPX1, HGNC:HGNC:14133, ModBase:Q9NZV6, NCBI Gene:51734, OMIM:606216, RefSeq DNA:NT_010393, RefSeq Protein:NP_057416, RefSeq RNA:NM_016332, UCSC Genome Browser:NM_016332, UniProtKB:Q9NZV6"
PDZ domain containing 1,PDZK1,"Comparative Toxicogenomics Database:5174, Ensembl:ENSG00000174827, GenAtlas:PDZK1, GeneCard:PDZK1, HGNC:HGNC:8821, HumanCyc Gene:HS10835, ModBase:Q5T2W1, NCBI Gene:5174, OMIM:603831, RefSeq DNA:NT_167185, RefSeq Protein:NP_001188254, RefSeq Protein:NP_001188255, RefSeq Protein:NP_002605, RefSeq RNA:NM_001201325, RefSeq RNA:NM_001201326, RefSeq RNA:NM_002614, UCSC Genome Browser:NM_002614, UniProtKB:Q5T2W1"
WW domain containing oxidoreductase,WWOX,"Comparative Toxicogenomics Database:51741, Ensembl:ENSG00000186153, GenAtlas:WWOX, GeneCard:WWOX, HGNC:HGNC:12799, ModBase:Q9NRF5, NCBI Gene:51741, OMIM:133239, OMIM:605131, RefSeq DNA:NG_011698, RefSeq DNA:NT_010498, RefSeq Protein:NP_057457, RefSeq Protein:NP_570607, RefSeq Protein:NP_570859, RefSeq RNA:NM_016373, RefSeq RNA:NM_130791, RefSeq RNA:NM_130844, UCSC Genome Browser:NM_016373, UniProtKB:Q9NZC7"
platelet and endothelial cell adhesion molecule 1,PECAM1,"Comparative Toxicogenomics Database:5175, GenAtlas:PECAM1, GeneCard:PECAM1, HGNC:HGNC:8823, ModBase:Q9NQS9, NCBI Gene:5175, OMIM:173445, RefSeq DNA:NT_010783, RefSeq Protein:NP_000433, RefSeq RNA:NM_000442, UCSC Genome Browser:NM_000442, UniProtKB:P16284"
serpin family F member 1,SERPINF1,"Comparative Toxicogenomics Database:5176, Ensembl:ENSG00000132386, GenAtlas:SERPINF1, GeneCard:SERPINF1, HGNC:HGNC:8824, HumanCyc Gene:HS05629, ModBase:P36955, NCBI Gene:5176, OMIM:172860, RefSeq DNA:NT_010718, RefSeq Protein:NP_002606, RefSeq RNA:NM_002615, UCSC Genome Browser:NM_002615, UniProtKB:P36955"
myozenin 2,MYOZ2,"Comparative Toxicogenomics Database:51778, Ensembl:ENSG00000172399, GenAtlas:MYOZ2, GeneCard:MYOZ2, HGNC:HGNC:1330, HumanCyc Gene:HS10511, ModBase:Q9NPC6, NCBI Gene:51778, OMIM:605602, RefSeq DNA:NT_016354, RefSeq Protein:NP_057683, RefSeq RNA:NM_016599, UCSC Genome Browser:NM_016599, UniProtKB:Q9NPC6"
paternally expressed 3,PEG3,"Comparative Toxicogenomics Database:5178, Ensembl:ENSG00000198300, GenAtlas:PEG3, GeneCard:PEG3, HGNC:HGNC:8826, ModBase:Q9GZU2, NCBI Gene:5178, OMIM:601483, RefSeq DNA:NG_012989, RefSeq DNA:NT_011109, RefSeq Protein:NP_001139656, RefSeq Protein:NP_001139657, RefSeq Protein:NP_001139658, RefSeq Protein:NP_001139659, RefSeq Protein:NP_006201, RefSeq RNA:NM_001146184, RefSeq RNA:NM_001146185, RefSeq RNA:NM_001146186, RefSeq RNA:NM_001146187, RefSeq RNA:NM_006210, UCSC Genome Browser:NM_006210, UniProtKB:A7E2B8, UniProtKB:B4DIM4, UniProtKB:Q96Q96, UniProtKB:Q9GZU2"
tubulin alpha 8,TUBA8,"Comparative Toxicogenomics Database:51807, Ensembl:ENSG00000183785, GenAtlas:TUBA8, GeneCard:TUBA8, HGNC:HGNC:12410, ModBase:Q9NY65, NCBI Gene:51807, OMIM:605742, OMIM:613180, RefSeq DNA:NG_023429, RefSeq DNA:NT_011519, RefSeq Protein:NP_001180343, RefSeq Protein:NP_061816, RefSeq RNA:NM_001193414, RefSeq RNA:NM_018943, UCSC Genome Browser:NM_018943, UniProtKB:Q9NY65"
period circadian regulator 1,PER1,"Comparative Toxicogenomics Database:5187, Ensembl:ENSG00000179094, GenAtlas:PER1, GeneCard:PER1, HGNC:HGNC:8845, HumanCyc Gene:HS11350, ModBase:O15534, NCBI Gene:5187, OMIM:602260, RefSeq DNA:NT_010718, RefSeq Protein:NP_002607, RefSeq RNA:NM_002616, UCSC Genome Browser:NM_002616, UniProtKB:O15534"
peroxisomal biogenesis factor 1,PEX1,"Comparative Toxicogenomics Database:5189, Ensembl:ENSG00000127980, GenAtlas:PEX1, GeneCard:PEX1, HGNC:HGNC:8850, HumanCyc Gene:HS05146, ModBase:O43933, NCBI Gene:5189, OMIM:202370, OMIM:214100, OMIM:266510, OMIM:602136, RefSeq DNA:NG_008341, RefSeq DNA:NT_007933, RefSeq DNA:NT_079595, RefSeq Protein:NP_000457, RefSeq RNA:NM_000466, UCSC Genome Browser:NM_000466, UniProtKB:O43933"
peroxisomal biogenesis factor 6,PEX6,"Comparative Toxicogenomics Database:5190, Ensembl:ENSG00000124587, GenAtlas:PEX6, GeneCard:PEX6, HGNC:HGNC:8859, HumanCyc Gene:HS04801, ModBase:Q13608, NCBI Gene:5190, OMIM:214100, OMIM:601498, RefSeq DNA:NG_008370, RefSeq DNA:NT_007592, RefSeq Protein:NP_000278, RefSeq RNA:NM_000287, UCSC Genome Browser:NM_000287, UniProtKB:Q13608, UniProtKB:Q5T8W1"
peroxisomal biogenesis factor 7,PEX7,"Comparative Toxicogenomics Database:5191, Ensembl:ENSG00000112357, GenAtlas:PEX7, GeneCard:PEX7, HGNC:HGNC:8860, HumanCyc Gene:HS03565, ModBase:O00628, NCBI Gene:5191, OMIM:215100, OMIM:266500, OMIM:601757, RefSeq DNA:NG_008462, RefSeq DNA:NT_025741, RefSeq Protein:NP_000279, RefSeq RNA:NM_000288, UCSC Genome Browser:NM_000288, UniProtKB:O00628, UniProtKB:Q6FGN1"
peroxisomal biogenesis factor 10,PEX10,"Comparative Toxicogenomics Database:5192, Ensembl:ENSG00000157911, GenAtlas:PEX10, GeneCard:PEX10, HGNC:HGNC:8851, HumanCyc Gene:HS08252, ModBase:O60683, NCBI Gene:5192, OMIM:202370, OMIM:214100, OMIM:602859, RefSeq DNA:NG_008342, RefSeq DNA:NT_004350, RefSeq Protein:NP_002608, RefSeq Protein:NP_722540, RefSeq RNA:NM_002617, RefSeq RNA:NM_153818, UCSC Genome Browser:NM_002617, UniProtKB:O60683"
platelet factor 4,PF4,"Comparative Toxicogenomics Database:5196, Ensembl:ENSG00000163737, GenAtlas:PF4, GeneCard:PF4, HGNC:HGNC:8861, HumanCyc Gene:HS08925, ModBase:P02776, NCBI Gene:5196, OMIM:173460, RefSeq DNA:NT_022778, RefSeq Protein:NP_002610, RefSeq RNA:NM_002619, UCSC Genome Browser:NM_002619, UniProtKB:P02776"
platelet factor 4 variant 1,PF4V1,"Comparative Toxicogenomics Database:5197, Ensembl:ENSG00000109272, GenAtlas:PF4V1, GeneCard:PF4V1, HGNC:HGNC:8862, HumanCyc Gene:HS03216, ModBase:P10720, NCBI Gene:5197, OMIM:173461, RefSeq DNA:NT_022778, RefSeq Protein:NP_002611, RefSeq RNA:NM_002620, UCSC Genome Browser:NM_002620, UniProtKB:P10720"
phosphoribosylformylglycinamidine synthase,PFAS,"Comparative Toxicogenomics Database:5198, Ensembl:ENSG00000178921, GenAtlas:PFAS, GeneCard:PFAS, HGNC:HGNC:8863, HumanCyc Gene:HS11329, ModBase:O15067, NCBI Gene:5198, OMIM:602133, RefSeq DNA:NT_010718, RefSeq Protein:NP_036525, RefSeq RNA:NM_012393, UCSC Genome Browser:NM_012393, UniProtKB:A8K9T9, UniProtKB:Q6P4B4"
acid phosphatase 1,ACP1,"Comparative Toxicogenomics Database:52, Ensembl:ENSG00000143727, GenAtlas:ACP1, GeneCard:ACP1, HGNC:HGNC:122, HumanCyc Gene:HS07096, ModBase:P24666, NCBI Gene:52, OMIM:171500, RefSeq DNA:NG_012035, RefSeq DNA:NT_022221, RefSeq Protein:NP_001035739, RefSeq Protein:NP_004291, RefSeq Protein:NP_009030, RefSeq RNA:NM_001040649, RefSeq RNA:NM_004300, RefSeq RNA:NM_007099, RefSeq RNA:NR_024080, UCSC Genome Browser:NM_004300, UniProtKB:B5MCC7, UniProtKB:P24666, UniProtKB:Q59EH3"
prefoldin subunit 4,PFDN4,"Comparative Toxicogenomics Database:5203, Ensembl:ENSG00000101132, GenAtlas:PFDN4, GeneCard:PFDN4, HGNC:HGNC:8868, HumanCyc Gene:HS02197, ModBase:Q9NQP4, NCBI Gene:5203, OMIM:604898, RefSeq DNA:NT_011362, RefSeq Protein:NP_002614, RefSeq RNA:NM_002623, UCSC Genome Browser:NM_002623, UniProtKB:Q9NQP4"
prefoldin subunit 5,PFDN5,"Comparative Toxicogenomics Database:5204, Ensembl:ENSG00000123349, GenAtlas:PFDN5, GeneCard:PFDN5, HGNC:HGNC:8869, HumanCyc Gene:HS04649, ModBase:Q99471, NCBI Gene:5204, OMIM:604899, RefSeq DNA:NT_029419, RefSeq Protein:NP_002615, RefSeq Protein:NP_665904, RefSeq RNA:NM_002624, RefSeq RNA:NM_145897, UCSC Genome Browser:NM_002624, UniProtKB:Q99471, UniProtKB:Q9C083"
"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 1",PFKFB1,"Comparative Toxicogenomics Database:5207, Ensembl:ENSG00000158571, GenAtlas:PFKFB1, GeneCard:PFKFB1, HGNC:HGNC:8872, HumanCyc Gene:HS08310, ModBase:P16118, NCBI Gene:5207, OMIM:311790, RefSeq DNA:NG_013254, RefSeq DNA:NT_011630, RefSeq Protein:NP_002616, RefSeq RNA:NM_002625, UCSC Genome Browser:NM_002625, UniProtKB:P16118"
"phosphofructokinase, muscle",PFKM,"Comparative Toxicogenomics Database:5213, Ensembl:ENSG00000152556, GenAtlas:PFKM, GeneCard:PFKM, HGNC:HGNC:8877, HumanCyc Gene:HS07832, ModBase:P08237, NCBI Gene:5213, OMIM:232800, OMIM:610681, RefSeq DNA:NG_016199, RefSeq DNA:NT_029419, RefSeq Protein:NP_000280, RefSeq Protein:NP_001160158, RefSeq Protein:NP_001160159, RefSeq Protein:NP_001160160, RefSeq RNA:NM_000289, RefSeq RNA:NM_001166686, RefSeq RNA:NM_001166687, RefSeq RNA:NM_001166688, UCSC Genome Browser:NM_000289, UniProtKB:P08237"
"phosphofructokinase, platelet",PFKP,"Comparative Toxicogenomics Database:5214, Ensembl:ENSG00000067057, GenAtlas:PFKP, GeneCard:PFKP, HGNC:HGNC:8878, HumanCyc Gene:HS00894, ModBase:Q01813, NCBI Gene:5214, OMIM:171840, RefSeq DNA:NT_008705, RefSeq Protein:NP_001229268, RefSeq Protein:NP_002618, RefSeq RNA:NM_001242339, RefSeq RNA:NM_002627, UCSC Genome Browser:NM_002627, UniProtKB:B3KS15, UniProtKB:Q01813"
phosphoglycerate mutase 1,PGAM1,"Comparative Toxicogenomics Database:5223, Ensembl:ENSG00000171314, GenAtlas:PGAM1, GeneCard:PGAM1, HGNC:HGNC:8888, HumanCyc Gene:HS10286, HumanCyc Gene:HS11159, HumanCyc Gene:HS11196, ModBase:P18669, NCBI Gene:5223, OMIM:172250, RefSeq DNA:NT_030059, RefSeq Protein:NP_002620, RefSeq RNA:NM_002629, UCSC Genome Browser:NM_002629, UniProtKB:P18669, UniProtKB:Q6FHU2"
phosphoglycerate mutase 2,PGAM2,"Comparative Toxicogenomics Database:5224, Ensembl:ENSG00000164708, GenAtlas:PGAM2, GeneCard:PGAM2, HGNC:HGNC:8889, HumanCyc Gene:HS09121, ModBase:P15259, NCBI Gene:5224, OMIM:261670, OMIM:612931, RefSeq DNA:NG_013016, RefSeq DNA:NT_007819, RefSeq DNA:NT_079592, RefSeq Protein:NP_000281, RefSeq RNA:NM_000290, UCSC Genome Browser:NM_000290, UniProtKB:P15259"
placental growth factor,PGF,"Comparative Toxicogenomics Database:5228, Ensembl:ENSG00000119630, GenAtlas:PGF, GeneCard:PGF, HGNC:HGNC:8893, HumanCyc Gene:HS04313, NCBI Gene:5228, OMIM:601121, RefSeq DNA:NT_026437, RefSeq Protein:NP_001193941, RefSeq Protein:NP_002623, RefSeq RNA:NM_001207012, RefSeq RNA:NM_002632, UCSC Genome Browser:NM_002632, UniProtKB:P49763, UniProtKB:Q53XY6"
protein geranylgeranyltransferase type I subunit beta,PGGT1B,"Comparative Toxicogenomics Database:5229, Ensembl:ENSG00000164219, GenAtlas:PGGT1B, GeneCard:PGGT1B, HGNC:HGNC:8895, HumanCyc Gene:HS09041, ModBase:P53609, NCBI Gene:5229, OMIM:602031, RefSeq DNA:NT_034772, RefSeq Protein:NP_005014, RefSeq RNA:NM_005023, UCSC Genome Browser:NM_005023, UniProtKB:P53609"
phosphoglucomutase 3,PGM3,"Comparative Toxicogenomics Database:5238, Ensembl:ENSG00000013375, GenAtlas:PGM3, GeneCard:PGM3, HGNC:HGNC:8907, HumanCyc Gene:HS00347, ModBase:O95394, NCBI Gene:5238, OMIM:172100, RefSeq DNA:NT_007299, RefSeq Protein:NP_001186846, RefSeq Protein:NP_001186847, RefSeq Protein:NP_001186848, RefSeq Protein:NP_056414, RefSeq RNA:NM_001199917, RefSeq RNA:NM_001199918, RefSeq RNA:NM_001199919, RefSeq RNA:NM_015599, UCSC Genome Browser:NM_015599, UniProtKB:O95394"
progesterone receptor,PGR,"Comparative Toxicogenomics Database:5241, Ensembl:ENSG00000082175, GenAtlas:PGR, GeneCard:PGR, HGNC:HGNC:8910, HumanCyc Gene:HS01415, ModBase:P06401, NCBI Gene:5241, OMIM:607311, RefSeq DNA:NG_016475, RefSeq DNA:NT_033899, RefSeq Protein:NP_000917, RefSeq Protein:NP_001189403, RefSeq RNA:NM_000926, RefSeq RNA:NM_001202474, UCSC Genome Browser:NM_000926, UniProtKB:P06401"
ATP binding cassette subfamily B member 1,ABCB1,"Comparative Toxicogenomics Database:5243, Ensembl:ENSG00000085563, GenAtlas:ABCB1, GeneCard:ABCB1, HGNC:HGNC:40, HumanCyc Gene:HS01500, ModBase:P08183, NCBI Gene:5243, OMIM:171050, OMIM:612244, RefSeq DNA:NG_011513, RefSeq DNA:NT_007933, RefSeq DNA:NT_079595, RefSeq Protein:NP_000918, RefSeq RNA:NM_000927, UCSC Genome Browser:NM_000927, UniProtKB:A4D1D2, UniProtKB:P08183"
ATP binding cassette subfamily B member 4,ABCB4,"Comparative Toxicogenomics Database:5244, Ensembl:ENSG00000005471, GenAtlas:ABCB4, GeneCard:ABCB4, HGNC:HGNC:45, HumanCyc Gene:HS00144, ModBase:P21439, NCBI Gene:5244, OMIM:147480, OMIM:171060, OMIM:600803, OMIM:602347, RefSeq DNA:NG_007118, RefSeq DNA:NT_007933, RefSeq DNA:NT_079595, RefSeq Protein:NP_000434, RefSeq Protein:NP_061337, RefSeq Protein:NP_061338, RefSeq RNA:NM_000443, RefSeq RNA:NM_018849, RefSeq RNA:NM_018850, UCSC Genome Browser:NM_000443, UniProtKB:A4D1D5, UniProtKB:P21439"
prohibitin,PHB,"Comparative Toxicogenomics Database:5245, Ensembl:ENSG00000167085, GenAtlas:PHB, GeneCard:PHB, HGNC:HGNC:8912, HumanCyc Gene:HS09508, ModBase:P35232, NCBI Gene:5245, OMIM:114480, OMIM:176705, RefSeq DNA:NG_023046, RefSeq DNA:NT_010783, RefSeq Protein:NP_002625, RefSeq RNA:NM_002634, UCSC Genome Browser:NM_002634, UniProtKB:A8K401, UniProtKB:P35232"
solute carrier family 25 member 3,SLC25A3,"Comparative Toxicogenomics Database:5250, Ensembl:ENSG00000075415, GenAtlas:SLC25A3, GeneCard:SLC25A3, HGNC:HGNC:10989, HumanCyc Gene:HS01178, ModBase:Q00325, NCBI Gene:5250, OMIM:600370, OMIM:610773, RefSeq DNA:NG_011702, RefSeq DNA:NT_029419, RefSeq Protein:NP_002626, RefSeq Protein:NP_005879, RefSeq Protein:NP_998776, RefSeq RNA:NM_002635, RefSeq RNA:NM_005888, RefSeq RNA:NM_213611, UCSC Genome Browser:NM_002635, UniProtKB:Q00325, UniProtKB:Q6MZF9"
phosphate regulating endopeptidase homolog X-linked,PHEX,"Comparative Toxicogenomics Database:5251, Ensembl:ENSG00000102174, GenAtlas:PHEX, GeneCard:PHEX, HGNC:HGNC:8918, HumanCyc Gene:HS02363, ModBase:P78562, NCBI Gene:5251, OMIM:300550, OMIM:307800, RefSeq DNA:NG_007563, RefSeq DNA:NT_167197, RefSeq Protein:NP_000435, RefSeq RNA:NM_000444, UCSC Genome Browser:NM_000444, UniProtKB:P78562"
PHD finger protein 1,PHF1,"Comparative Toxicogenomics Database:5252, Ensembl:ENSG00000112511, Ensembl:ENSG00000225553, GenAtlas:PHF1, GeneCard:PHF1, HGNC:HGNC:8919, HumanCyc Gene:HS03583, ModBase:O43189, NCBI Gene:5252, OMIM:602881, RefSeq DNA:NT_007592, RefSeq DNA:NT_167249, RefSeq Protein:NP_002627, RefSeq Protein:NP_077084, RefSeq RNA:NM_002636, RefSeq RNA:NM_024165, RefSeq RNA:NR_027692, UCSC Genome Browser:NM_002636, UniProtKB:O43189"
phosphorylase kinase regulatory subunit alpha 1,PHKA1,"Comparative Toxicogenomics Database:5255, Ensembl:ENSG00000067177, GenAtlas:PHKA1, GeneCard:PHKA1, HGNC:HGNC:8925, HumanCyc Gene:HS00901, ModBase:P46020, NCBI Gene:5255, OMIM:300559, OMIM:311870, RefSeq DNA:NG_016599, RefSeq DNA:NT_011669, RefSeq Protein:NP_001116142, RefSeq Protein:NP_001165907, RefSeq Protein:NP_002628, RefSeq RNA:NM_001122670, RefSeq RNA:NM_001172436, RefSeq RNA:NM_002637, UCSC Genome Browser:NM_002637, UniProtKB:P46020"
phosphorylase kinase regulatory subunit alpha 2,PHKA2,"Comparative Toxicogenomics Database:5256, Ensembl:ENSG00000044446, GenAtlas:PHKA2, GeneCard:PHKA2, HGNC:HGNC:8926, HumanCyc Gene:HS00576, ModBase:P46019, NCBI Gene:5256, OMIM:300798, OMIM:306000, RefSeq DNA:NG_016622, RefSeq DNA:NT_167197, RefSeq Protein:NP_000283, RefSeq RNA:NM_000292, UCSC Genome Browser:NM_000292, UniProtKB:P46019"
phytanoyl-CoA 2-hydroxylase,PHYH,"Comparative Toxicogenomics Database:5264, Ensembl:ENSG00000107537, GenAtlas:PHYH, GeneCard:PHYH, HGNC:HGNC:8940, HumanCyc Gene:HS03003, ModBase:O14832, NCBI Gene:5264, OMIM:266500, OMIM:602026, RefSeq DNA:NG_012862, RefSeq DNA:NT_008705, RefSeq Protein:NP_001032626, RefSeq Protein:NP_006205, RefSeq RNA:NM_001037537, RefSeq RNA:NM_006214, UCSC Genome Browser:NM_006214, UniProtKB:A8MTS8, UniProtKB:O14832"
serpin family A member 1,SERPINA1,"Comparative Toxicogenomics Database:5265, Ensembl:ENSG00000197249, GenAtlas:SERPINA1, GeneCard:SERPINA1, HGNC:HGNC:8941, ModBase:Q86U18, NCBI Gene:5265, OMIM:107400, OMIM:606963, RefSeq DNA:NG_008290, RefSeq DNA:NT_026437, RefSeq Protein:NP_000286, RefSeq Protein:NP_001002235, RefSeq Protein:NP_001002236, RefSeq Protein:NP_001121172, RefSeq Protein:NP_001121173, RefSeq Protein:NP_001121174, RefSeq Protein:NP_001121175, RefSeq Protein:NP_001121176, RefSeq Protein:NP_001121177, RefSeq Protein:NP_001121178, RefSeq Protein:NP_001121179, RefSeq RNA:NM_000295, RefSeq RNA:NM_001002235, RefSeq RNA:NM_001002236, RefSeq RNA:NM_001127700, RefSeq RNA:NM_001127701, RefSeq RNA:NM_001127702, RefSeq RNA:NM_001127703, RefSeq RNA:NM_001127704, RefSeq RNA:NM_001127705, RefSeq RNA:NM_001127706, RefSeq RNA:NM_001127707, UCSC Genome Browser:NM_000295, UniProtKB:P01009"
serpin family A member 4,SERPINA4,"Comparative Toxicogenomics Database:5267, Ensembl:ENSG00000100665, GenAtlas:SERPINA4, GeneCard:SERPINA4, HGNC:HGNC:8948, HumanCyc Gene:HS10057, ModBase:P29622, NCBI Gene:5267, OMIM:147935, RefSeq DNA:NT_026437, RefSeq Protein:NP_006206, RefSeq RNA:NM_006215, UCSC Genome Browser:NM_006215, UniProtKB:P29622"
serpin family B member 5,SERPINB5,"Comparative Toxicogenomics Database:5268, Ensembl:ENSG00000206075, GenAtlas:SERPINB5, GeneCard:SERPINB5, HGNC:HGNC:8949, HumanCyc Gene:HS09430, ModBase:P36952, NCBI Gene:5268, OMIM:154790, RefSeq DNA:NT_025028, RefSeq Protein:NP_002630, RefSeq RNA:NM_002639, UCSC Genome Browser:NM_002639, UniProtKB:P36952"
serpin family B member 6,SERPINB6,"Comparative Toxicogenomics Database:5269, Ensembl:ENSG00000124570, GenAtlas:SERPINB6, GeneCard:SERPINB6, HGNC:HGNC:8950, HumanCyc Gene:HS04797, ModBase:P35237, NCBI Gene:5269, OMIM:173321, OMIM:613453, RefSeq DNA:NT_007592, RefSeq Protein:NP_001182220, RefSeq Protein:NP_004559, RefSeq RNA:NM_001195291, RefSeq RNA:NM_004568, UCSC Genome Browser:NM_004568, UniProtKB:P35237"
serpin family E member 2,SERPINE2,"Comparative Toxicogenomics Database:5270, Ensembl:ENSG00000135919, GenAtlas:SERPINE2, GeneCard:SERPINE2, HGNC:HGNC:8951, HumanCyc Gene:HS06085, ModBase:P07093, NCBI Gene:5270, OMIM:177010, RefSeq DNA:NT_005403, RefSeq Protein:NP_001130000, RefSeq Protein:NP_001130001, RefSeq Protein:NP_001130002, RefSeq Protein:NP_006207, RefSeq RNA:NM_001136528, RefSeq RNA:NM_001136529, RefSeq RNA:NM_001136530, RefSeq RNA:NM_006216, UCSC Genome Browser:NM_006216, UniProtKB:B4DIF2, UniProtKB:P07093"
serpin family B member 8,SERPINB8,"Comparative Toxicogenomics Database:5271, Ensembl:ENSG00000166401, GenAtlas:SERPINB8, GeneCard:SERPINB8, HGNC:HGNC:8952, HumanCyc Gene:HS01407, ModBase:P50452, NCBI Gene:5271, OMIM:601697, RefSeq DNA:NT_025028, RefSeq Protein:NP_001027018, RefSeq Protein:NP_002631, RefSeq Protein:NP_942130, RefSeq RNA:NM_001031848, RefSeq RNA:NM_002640, RefSeq RNA:NM_198833, UCSC Genome Browser:NM_002640, UniProtKB:P50452, UniProtKB:Q8N178"
serpin family B member 9,SERPINB9,"Comparative Toxicogenomics Database:5272, Ensembl:ENSG00000170542, GenAtlas:SERPINB9, GeneCard:SERPINB9, HGNC:HGNC:8955, HumanCyc Gene:HS10146, ModBase:P50453, NCBI Gene:5272, OMIM:601799, RefSeq DNA:NT_007592, RefSeq Protein:NP_004146, RefSeq RNA:NM_004155, UCSC Genome Browser:NM_004155, UniProtKB:P50453"
serpin family B member 10,SERPINB10,"Comparative Toxicogenomics Database:5273, Ensembl:ENSG00000242550, GenAtlas:SERPINB10, GeneCard:SERPINB10, HGNC:HGNC:8942, ModBase:P48595, NCBI Gene:5273, OMIM:602058, RefSeq DNA:NT_025028, RefSeq Protein:NP_005015, RefSeq RNA:NM_005024, UCSC Genome Browser:NM_005024, UniProtKB:P48595"
serpin family I member 1,SERPINI1,"Comparative Toxicogenomics Database:5274, Ensembl:ENSG00000163536, GenAtlas:SERPINI1, GeneCard:SERPINI1, HGNC:HGNC:8943, HumanCyc Gene:HS08875, ModBase:Q99574, NCBI Gene:5274, OMIM:602445, OMIM:604218, RefSeq DNA:NG_008217, RefSeq DNA:NT_005612, RefSeq Protein:NP_001116224, RefSeq Protein:NP_005016, RefSeq RNA:NM_001122752, RefSeq RNA:NM_005025, UCSC Genome Browser:NM_005025, UniProtKB:Q99574"
serpin family B member 13,SERPINB13,"Comparative Toxicogenomics Database:5275, Ensembl:ENSG00000197641, GenAtlas:SERPINB13, GeneCard:SERPINB13, HGNC:HGNC:8944, HumanCyc Gene:HS06861, ModBase:Q9UIV8, NCBI Gene:5275, OMIM:604445, RefSeq DNA:NT_025028, RefSeq Protein:NP_036529, RefSeq RNA:NM_012397, UCSC Genome Browser:NM_012397, UniProtKB:Q9UIV8"
phosphatidylinositol glycan anchor biosynthesis class A,PIGA,"Comparative Toxicogenomics Database:5277, Ensembl:ENSG00000165195, GenAtlas:PIGA, GeneCard:PIGA, HGNC:HGNC:8957, HumanCyc Gene:HS09198, ModBase:P37287, NCBI Gene:5277, OMIM:300818, OMIM:311770, RefSeq DNA:NG_009786, RefSeq DNA:NT_167197, RefSeq Protein:NP_002632, RefSeq Protein:NP_065206, RefSeq RNA:NM_002641, RefSeq RNA:NM_020473, RefSeq RNA:NR_033835, RefSeq RNA:NR_033836, UCSC Genome Browser:NM_002641, UniProtKB:B3KUV7, UniProtKB:P37287"
